Player,height,weight,born,year_start,year_end,position
Victor Alexander,81,265,1969,1992,2002,C
Kenny Anderson,72,168,1970,1992,2005,G
Greg Anthony,72,174,1967,1992,2002,G
Stacey Augmon,80,203,1968,1992,2006,F
Isaac Austin,82,254,1969,1992,2002,C
Steve Bardo,77,190,1968,1992,1996,G
David Benoit,80,218,1968,1992,2001,F
Terrell Brandon,71,179,1970,1992,2002,G
Kevin Brooks,78,198,1969,1992,1994,F
Myron Brown,75,179,1969,1992,1992,G
Randy Brown,80,218,1965,,,
Demetrius Calip,73,163,1969,1992,1992,G
Pete Chilcutt,82,229,1968,1992,2000,F
Marty Conlon,82,223,1968,1992,2000,F
Tom Copa,82,273,1964,1992,1992,C
Chris Corchiani,72,183,1968,1992,1994,G
Corey Crowder,77,214,1969,1992,1995,G
Dale Davis,83,229,1969,1992,2007,F
Bison Dele,81,234,1969,1992,1999,F
Patrick Eddie,83,238,1967,1992,1992,C
LeRon Ellis,82,209,1940,,,
Rick Fox,79,229,1969,1992,2004,F
Chris Gatling,82,218,1967,1992,2002,F
Paul Graham,78,198,1967,1992,1994,F
Sean Green,77,209,1970,1992,1994,G
Carl Herrera,81,214,1966,1992,1999,F
Donald Hodge,84,229,1969,1992,1996,C
Brian Howard,78,203,1967,1992,1993,F
Cedric Hunter,72,179,1965,1992,1992,G
Mike Iuzzolino,70,174,1968,1992,1993,G
Rich King,86,258,1969,1992,1995,C
Doug Lee,77,198,1964,1992,1995,G
Luc Longley,86,265,1969,1992,2001,C
Kevin Lynch,77,194,1968,1992,1993,G
Mark Macon,77,183,1969,1992,1999,G
Tharon Mayes,75,174,1968,1992,1992,G
Rodney Monroe,75,183,1968,1992,1992,G
Tracy Moore,76,198,1965,1992,1997,G
Eric Murdock,73,190,1968,1992,2000,G
Dikembe Mutombo,86,245,1966,1992,2009,C
Jimmy Oliver,77,203,1969,1992,1999,G
Billy Owens,80,218,1969,1992,2001,F
Keith Owens,79,225,1969,1992,1992,F
Robert Pack,74,179,1969,1992,2004,G
Elliot Perry,72,150,1969,1992,2002,G
Bobby Phills,77,209,1969,1992,2000,G
Mark Randall,80,234,1967,1992,1995,F
Stanley Roberts,84,284,1970,1992,2000,C
Doug Smith,74,190,1920,,,
LaBradford Smith,80,214,1958,,,
Steve Smith,79,198,1969,1992,2005,G
Larry Stewart,80,218,1968,1992,1997,F
Derek Strong,80,218,1968,1992,2001,F
Lamont Strothers,76,190,1968,1992,1993,G
Greg Sutton,74,170,1967,1992,1996,G
Carl Thomas,76,174,1969,1992,1998,G
Charles Thomas,75,174,1969,1992,1992,G
Stephen Thompson,76,183,1968,1992,1992,G
John Turner,80,245,1967,1992,1992,F
Joao Vianna,81,214,1966,1992,1992,F
Eric Anderson,81,218,1970,1993,1994,F
Anthony Avent,81,234,1969,1993,2000,F
Jon Barry,76,194,1969,1993,2006,G
Tony Bennett,72,174,1969,1993,1995,G
Alex Blackwell,78,249,1970,1993,1993,F
Ricky Blanton,79,214,1966,1993,1993,F
Walter Bond,77,198,1969,1993,1995,G
Dexter Cambridge,79,223,1970,1993,1993,F
Doug Christie,78,198,1970,1993,2007,G
Duane Cooper,73,183,1969,1993,1994,G
Joe Courtney,80,234,1969,1993,1997,F
John Crotty,73,183,1969,1993,2003,G
Radisav Curcic,82,273,1965,1993,1993,C
Lloyd Daniels,79,203,1967,1993,1998,G
Hubert Davis,77,183,1970,1993,2004,G
Todd Day,78,187,1970,1993,2001,G
Richard Dumas,75,170,1970,,,
Pat Durham,79,209,1967,1993,1995,F
LaPhonso Ellis,80,238,1970,1993,2003,F
Matt Geiger,84,243,1969,1993,2002,C
Litterial Green,73,183,1970,1993,1999,G
Tom Gugliotta,82,238,1969,1993,2005,F
Jay Guidinger,82,254,1969,1993,1994,C
Robert Horry,81,218,1970,1993,2008,F
Byron Houston,77,249,1969,1993,1996,F
Stephen Howard,81,225,1970,1993,1998,F
Jim Jackson,78,218,1970,1993,2006,G
Keith Jennings,67,159,1968,1993,1995,G
Dave Johnson,79,209,1970,1993,1994,G
Thomas Jordan,82,218,1968,1993,1993,F
Adam Keefe,81,229,1970,1993,2001,F
Christian Laettner,83,234,1969,1993,2005,F
Sam Mack,79,218,1970,1993,2002,F
Don MacLean,82,234,1970,1993,2001,F
Marlon Maxey,80,249,1969,1993,1994,F
Lee Mayberry,73,172,1970,1993,1999,G
Oliver Miller,81,280,1970,1993,2004,C
Harold Miner,77,209,1971,1993,1996,G
Isaiah Morris,80,227,1969,1993,1993,F
Alonzo Mourning,82,238,1970,1993,2008,C
Tracy Murray,79,225,1971,1993,2004,F
Melvin Newbern,76,198,1967,1993,1993,G
Shaquille O'Neal,85,324,1972,1993,2011,C
Matt Othick,74,163,1969,1993,1993,G
Doug Overton,75,190,1969,1993,2004,G
Anthony Peeler,76,207,1969,1993,2005,G
Brent Price,73,163,1968,1993,2002,G
Anthony Pullard,82,245,1966,1993,1993,F
Sean Rooks,82,249,1969,1993,2004,C
Malik Sealy,80,190,1970,1993,2000,G
Chris Smith,82,229,1965,,,
Reggie Smith,82,238,1970,1993,1994,C
Andre Spencer,78,209,1964,1993,1994,F
Elmore Spencer,84,269,1969,1993,1997,C
Latrell Sprewell,77,190,1970,1993,2005,G
Barry Stevens,77,194,1963,1993,1993,G
Bryant Stith,77,207,1970,1993,2002,G
Gundars Vetra,78,194,1967,1993,1993,F
Clarence Weatherspoon,78,238,1970,1993,2005,F
Marcus Webb,81,254,1970,1993,1993,F
Robert Werdann,83,249,1970,1993,1997,C
Corey Williams,74,190,1970,1993,1994,G
Lorenzo Williams,81,198,1969,1993,2000,F
Walt Williams,76,194,1923,,,
Randy Woods,70,183,1970,1993,1996,G
Gary Alexander,79,238,1969,1994,1994,F
Vin Baker,83,231,1971,1994,2006,F
Corie Blount,81,238,1969,1994,2004,F
Shawn Bradley,90,234,1972,1994,2005,C
P.J. Brown,90,234,1972,,,
Evers Burns,80,258,1971,1994,1994,F
Scott Burrell,79,216,1971,1994,2001,G
Mitchell Butler,74,170,1946,,,
Sam Cassell,75,183,1969,1994,2008,G
Calbert Cheaney,79,207,1971,1994,2006,G
Michael Curry,77,209,1968,1994,2005,F
Antonio Davis,81,214,1968,1994,2006,F
Brian Davis,75,179,1955,,,
Terry Dehere,74,190,1971,1994,1999,G
Dell Demps,75,203,1970,1994,1997,G
Acie Earl,82,238,1970,1994,1997,F
Bill Edwards,80,214,1971,1994,1994,F
Doug Edwards,79,218,1971,1994,1996,F
Harold Ellis,77,198,1970,1994,1998,G
Alphonso Ford,73,190,1971,1994,1995,G
Chad Gallagher,82,254,1969,1994,1994,C
Andrew Gaze,79,203,1965,1994,1999,G
Ricky Grace,73,179,1967,1994,1994,G
Greg Graham,76,172,1970,1994,1998,G
Josh Grant,81,223,1967,1994,1994,F
Andres Guibert,82,225,1968,1994,1995,F
Geert Hammink,84,260,1969,1994,1996,C
Anfernee Hardaway,79,194,1971,1994,2008,G
Lucious Harris,77,190,1970,1994,2005,G
Antonio Harvey,83,225,1970,1994,2003,F
Scott Haskin,83,249,1970,1994,1994,C
Skeeter Henry,79,190,1967,1994,1994,G
Allan Houston,78,198,1971,1994,2005,G
Lindsey Hunter,74,170,1970,1994,2010,G
Bobby Hurley,72,163,1971,1994,1998,G
Stanley Jackson,75,183,1970,1994,1994,G
Chris Jent,79,218,1970,1994,1997,F
Ervin Johnson,74,203,1966,,,
Popeye Jones,80,249,1970,1994,2004,F
Adonis Jordan,71,170,1970,1994,1999,G
Reggie Jordan,76,194,1968,1994,2000,G
Warren Kidd,81,234,1970,1994,1994,F
Chris King,80,214,1969,1994,1999,F
Toni Kukoc,82,192,1968,1994,2006,F
George Lynch,80,216,1970,1994,2005,F
Malcolm Mackey,81,247,1970,1994,1994,F
Gerald Madkins,76,198,1969,1994,1998,G
Bob Martin,84,249,1969,1994,1995,C
Jamal Mashburn,80,238,1972,1994,2004,F
Darnell Mee,77,174,1971,1994,1995,G
Chris Mills,78,214,1970,1994,2003,F
Darren Morningstar,82,234,1969,1994,1994,C
Gheorghe Muresan,91,302,1971,1994,2000,C
Bo Outlaw,80,209,1971,1994,2008,F
Mike Peplowski,82,269,1970,1994,1996,C
Richard Petruska,82,258,1969,1994,1994,C
Dino Radja,83,225,1967,1994,1997,F
Isaiah Rider,77,214,1971,1994,2002,G
Eric Riley,84,245,1970,1994,1999,C
James Robinson,78,209,1955,,,
Rodney Rogers,79,234,1971,1994,2005,F
Bryon Russell,79,225,1970,1994,2006,F
Kevin Thompson,83,258,1971,1994,1994,C
Keith Tower,83,249,1970,1994,1997,C
Nick Van,83,249,1970,,,
Rex Walters,76,190,1970,1994,2000,G
Chris Webber,81,245,1973,1994,2008,F
Matt Wenstrom,85,249,1970,1994,1994,C
David Wesley,72,190,1970,1994,2007,G
Chris Whitney,72,168,1971,1994,2004,G
Aaron Williams,81,218,1971,1994,2008,F
Luther Wright,86,269,1971,1994,1994,C
Derrick Alston,83,225,1972,1995,1997,F
Darrell Armstrong,72,170,1968,1995,2008,G
Sergei Bazarevich,74,168,1965,1995,1995,G
Elmer Bennett,72,170,1970,1995,1997,G
James Blackwell,72,190,1968,1995,1995,G
Tim Breaux,79,214,1970,1995,1998,F
Chris Childs,75,194,1967,1995,2003,G
Bill Curley,81,218,1972,1995,2001,F
Yinka Dare,84,265,1972,1995,1998,C
Tony Dumas,78,190,1972,1995,1998,G
Howard Eisley,74,176,1972,1995,2006,G
Matt Fish,83,234,1969,1995,1997,C
Brian Grant,81,254,1972,1995,2006,F
Darrin Hancock,79,203,1971,1995,1997,G
Jerome Harmon,76,190,1969,1995,1995,G
Grant Hill,80,225,1972,1995,2013,F
Tom Hovasse,80,203,1967,1995,1995,F
Juwan Howard,81,238,1973,1995,2013,F
Askia Jones,77,198,1971,1995,1995,G
Eddie Jones,82,225,1956,,,
Jason Kidd,76,203,1973,1995,2013,G
Antonio Lang,83,245,1966,,,
Ryan Lorthridge,76,190,1972,1995,1995,G
Donyell Marshall,81,216,1973,1995,2009,F
Darrick Martin,71,170,1971,1995,2008,G
Jim McIlvaine,85,238,1972,1995,2001,C
Aaron McKie,77,207,1972,1995,2007,G
Anthony Miller,81,225,1971,1995,2005,F
Greg Minor,78,209,1971,1995,1999,G
Eric Mobley,83,234,1970,1995,1997,C
Eric Montross,84,269,1971,1995,2002,C
Dwayne Morton,79,194,1971,1995,1995,F
Lamond Murray,79,236,1973,1995,2006,F
Ivano Newbill,81,245,1970,1995,1998,F
Julius Nwosu,82,254,1971,1995,1995,C
Wesley Person,78,194,1971,1995,2005,G
Derrick Phelps,76,181,1972,1995,1995,G
Eric Piatkowski,79,214,1970,1995,2008,G
Eldridge Recasner,75,190,1967,1995,2002,G
Khalid Reeves,75,198,1972,1995,2000,G
Glenn Robinson,79,225,1973,1995,2005,F
Carlos Rogers,83,218,1971,1995,2002,C
Jalen Rose,80,209,1973,1995,2007,G
Clifford Rozier,83,245,1972,1995,1998,C
Trevor Ruffin,73,183,1970,1995,1996,G
Dickey Simpkins,81,247,1972,1995,2002,F
Reggie Slater,79,214,1970,1995,2003,F
Mark Strickland,81,209,1970,1995,2003,F
Aaron Swinson,77,229,1971,1995,1995,F
Zan Tabak,84,245,1970,1995,2001,C
Brooks Thompson,76,192,1970,1995,1998,G
Anthony Tucker,80,218,1969,1995,1995,F
B.J. Tyler,80,218,1969,,,
Fred Vinson,76,190,1971,1995,2000,G
Charlie Ward,74,190,1970,1995,2005,G
Jamie Watson,79,190,1972,1995,1999,F
Monty Williams,80,225,1971,1995,2003,F
Dontonio Wingfield,80,256,1974,1995,1998,F
Sharone Wright,83,258,1973,1995,1998,F
Cory Alexander,73,183,1973,1996,2005,G
Jerome Allen,76,183,1973,1996,1997,G
John Amaechi,82,269,1970,1996,2003,C
Ashraf Amaya,80,229,1971,1996,1997,F
Brent Barry,78,183,1971,1996,2009,G
Corey Beck,73,190,1971,1996,1999,G
Mario Bennett,78,234,1973,1996,2000,F
Travis Best,71,181,1972,1996,2005,G
Melvin Booker,73,183,1972,1996,1997,G
Donnie Boyce,77,194,1973,1996,1997,G
Marques Bragg,80,229,1970,1996,1996,F
Junior Burrough,80,240,1973,1996,1996,F
Jason Caffey,80,254,1973,1996,2003,F
Chris Carr,77,205,1974,1996,2001,G
Randolph Childress,74,187,1972,1996,1997,G
Robert Churchwell,78,194,1972,1996,1996,G
Charles Claxton,84,265,1970,1996,1996,C
John Coker,84,251,1971,1996,2001,C
Rastko Cvetkovic,85,258,1970,1996,1996,C
Sasha Danilovic,77,198,1970,1996,1997,G
Andrew DeClercq,82,229,1973,1996,2005,F
Tyus Edney,70,150,1973,1996,2001,G
Vincenzo Esposito,75,196,1969,1996,1996,G
Michael Finley,79,214,1973,1996,2010,G
Sherell Ford,79,209,1972,1996,1996,F
Kevin Garnett,83,238,1976,1996,2016,F
Anthony Goldwire,73,181,1971,1996,2006,G
Thomas Hamilton,86,328,1975,1996,2000,C
Alvin Heggs,80,225,1967,1996,1996,F
Alan Henderson,81,234,1972,1996,2007,F
Fred Hoiberg,76,203,1972,1996,2005,G
Darryl Johnson,79,209,1970,,,
Frankie King,73,183,1972,1996,1997,G
Jimmy King,74,174,1941,,,
Voshon Lenard,76,203,1973,1996,2006,G
Cedric Lewis,82,234,1969,1996,1996,F
Martin Lewis,77,209,1975,1996,1997,F
Rich Manning,83,251,1970,1996,1997,C
Donny Marshall,81,216,1973,,,
Cuonzo Martin,77,212,1971,1996,1997,G
Clint McDaniel,76,179,1972,1996,1996,G
Antonio McDyess,81,218,1974,1996,2011,F
Loren Meyer,82,256,1972,1996,1999,C
Lawrence Moten,77,183,1972,1996,1998,G
Todd Mundt,84,249,1970,1996,1996,C
Howard Nathan,71,174,1972,1996,1996,G
Ed O'Bannon,80,220,1972,1996,1997,F
Greg Ostertag,86,280,1973,1996,2006,C
Cherokee Parks,77,209,1973,,,
Theo Ratliff,82,225,1973,1996,2011,C
Bryant Reeves,84,273,1973,1996,2001,C
Don Reid,80,249,1973,1996,2003,F
Terrence Rencher,75,183,1973,1996,1996,G
Shawn Respert,73,194,1972,1996,1999,G
Lou Roe,79,218,1972,1996,1997,F
Stefano Rusconi,81,238,1968,1996,1996,C
Arvydas Sabonis,87,278,1964,1996,2003,C
Joe Smith,84,234,1944,,,
Eric Snow,75,190,1973,1996,2008,G
Jerry Stackhouse,78,216,1974,1996,2013,G
Damon Stoudamire,70,170,1973,1996,2008,G
Bob Sura,77,198,1973,1996,2005,G
Larry Sykes,81,254,1973,1996,1996,F
Kurt Thomas,81,229,1972,1996,2013,F
Gary Trent,80,249,1974,1996,2004,F
Logan Vander,80,214,1971,,,
David Vaughn,83,218,1952,,,
Rasheed Wallace,82,225,1974,1996,2013,F
Jeff Webster,80,231,1971,1996,1996,F
Dwayne Whitfield,81,238,1972,1996,1996,F
Eric Williams,80,218,1972,1996,2007,F
Corliss Williamson,74,190,1970,,,
George Zidek,84,249,1973,1996,1998,C
Shareef Abdur-Rahim,81,225,1976,1997,2008,F
Ray Allen,80,218,1965,,,
Shandon Anderson,78,207,1973,1997,2006,F
Dexter Boney,76,183,1970,1997,1997,G
Bruce Bowen,79,183,1971,1997,2009,F
Mark Bradtke,82,265,1968,1997,1997,C
Marcus Brown,75,183,1974,1997,2000,G
Kobe Bryant,78,212,1978,1997,2016,G
Marcus Camby,83,218,1974,1997,2013,C
Jimmy Carruth,82,265,1969,1997,1997,C
Erick Dampier,83,265,1975,1997,2012,C
Ben Davis,81,238,1972,1997,2000,F
Emanual Davis,76,194,1968,1997,2003,G
Tony Delk,73,187,1974,1997,2006,G
Aleksandar Djordjevic,74,196,1967,1997,1997,G
Nate Driggers,77,214,1973,1997,1997,G
Brian Evans,80,218,1973,1997,1999,F
Jamie Feick,81,254,1974,1997,2001,C
Derek Fisher,73,198,1974,1997,2014,G
Todd Fuller,76,179,1958,,,
Dean Garrett,82,225,1966,1997,2002,C
Reggie Geary,74,185,1973,1997,1998,G
Devin Gray,79,238,1972,1997,2000,F
Evric Gray,79,234,1969,1997,1997,F
Darvin Ham,79,218,1973,1997,2005,F
Steve Hamer,84,245,1973,1997,1997,C
Othella Harrington,81,234,1974,1997,2008,F
Michael Hawkins,72,176,1972,1997,2001,G
Shane Heal,72,179,1970,1997,2004,G
Mark Hendrickson,81,218,1974,1997,2000,F
Allen Iverson,72,163,1975,1997,2010,G
Kerry Kittles,77,179,1974,1997,2005,G
Travis Knight,84,234,1974,1997,2003,C
Priest Lauderdale,88,324,1973,1997,1998,C
Randy Livingston,76,207,1975,1997,2007,G
Horacio Llamas,83,284,1973,,,
Matt Maloney,75,192,1971,1997,2003,G
Stephon Marbury,74,179,1977,1997,2009,G
Walter McCarty,82,229,1974,1997,2006,F
Amal McCaskill,83,234,1973,1997,2004,F
Jeff McInnis,76,190,1974,1997,2008,G
Martin Muursepp,81,234,1974,1997,1998,F
Steve Nash,75,194,1974,1997,2014,G
Ruben Nembhard,75,207,1972,1997,1997,G
Gaylon Nickerson,75,190,1969,1997,1997,G
Moochie Norris,73,174,1973,1997,2006,G
Jermaine O'Neal,83,225,1978,1997,2014,F
Ray Owes,81,223,1972,1997,1997,F
Vitaly Potapenko,82,280,1975,1997,2007,C
Chris Robinson,77,198,1974,1997,1998,G
Roy Rogers,79,234,1971,,,
Malik Rose,79,249,1974,1997,2009,F
Kevin Salvadori,84,229,1970,1997,1998,C
Jason Sasser,79,225,1974,1997,1999,F
Brent Scott,82,249,1971,1997,1997,F
James Scott,78,179,1972,1997,1997,F
Shawnelle Scott,82,249,1972,1997,2002,C
Stevin Smith,79,198,1969,,,
Matt Steigenga,79,225,1970,1997,1997,F
Joe Stephens,79,209,1973,1997,2000,F
Erick Strickland,75,209,1973,1997,2005,G
Brett Szabo,83,229,1968,1997,1997,C
Antoine Walker,76,190,1955,,,
Samaki Walker,81,238,1976,1997,2006,F
Ben Wallace,81,238,1974,1997,2012,F
John Wallace,80,225,1974,1997,2004,F
Donald Whiteside,70,159,1969,1997,1998,G
Jerome Williams,81,205,1973,1997,2005,F
Lorenzen Wright,74,203,1945,,,
Tariq Abdul-Wahad,78,223,1974,1998,2003,F
Derek Anderson,77,192,1974,1998,2008,G
Chris Anstey,84,247,1975,1998,2000,C
Drew Barry,77,190,1973,1998,2000,G
Tony Battie,83,229,1976,1998,2012,C
Chauncey Billups,75,201,1976,1998,2014,G
Etdrick Bohannon,81,218,1973,1998,2001,F
Keith Booth,78,225,1974,1998,1999,F
Rick Brunson,76,190,1972,1998,2006,G
Kelvin Cato,83,254,1974,1998,2007,C
Keith Closs,87,212,1976,1998,2000,C
James Collins,76,194,1973,1998,1998,G
James Cotton,79,198,1924,,,
Chris Crawford,81,234,1975,1998,2004,F
Austin Croshere,81,234,1975,1998,2009,F
William Cunningham,83,249,1974,1998,1999,C
Antonio Daniels,76,194,1975,1998,2011,G
Tim Duncan,83,249,1976,1998,2016,F
Tony Farmer,81,243,1970,1998,2000,F
Danny Fortson,79,258,1976,1998,2007,F
Adonal Foyle,82,249,1975,1998,2009,C
Lawrence Funderburke,81,229,1970,1998,2005,F
Chris Garner,70,154,1975,1998,2001,G
Kiwane Garris,74,183,1974,1998,2000,G
Ed Gray,75,209,1975,1998,1999,G
Derek Grimm,81,229,1974,1998,1998,F
Reggie Hanson,80,194,1968,1998,1998,F
Jerald Honeycutt,81,245,1974,1998,1999,F
Troy Hudson,73,170,1976,1998,2008,G
Zydrunas Ilgauskas,87,236,1975,1998,2011,C
Bobby Jackson,73,183,1973,1998,2009,G
Anthony Johnson,77,214,1932,,,
Dontae' Jones,80,218,1975,1998,1998,F
Brevin Knight,70,172,1975,1998,2009,G
Rusty LaRue,74,209,1973,1998,2004,G
Jason Lawson,83,238,1974,1998,1998,C
Michael McDonald,82,231,1969,1998,1998,C
Tracy McGrady,80,209,1979,1998,2012,F
Ron Mercer,79,209,1976,1998,2005,G
Marko Milic,78,234,1977,1998,1999,G
Jeff Nordgaard,79,225,1973,1998,1998,F
Charles O'Bannon,77,207,1975,1998,1999,G
Kevin Ollie,76,194,1972,1998,2010,G
Anthony Parker,78,214,1975,1998,2012,G
Scot Pollard,83,265,1975,1998,2008,C
Mark Pope,82,234,1972,1998,2005,F
Rodrick Rhodes,78,225,1973,1998,2000,G
Shea Seals,77,209,1975,1998,1998,G
God Shammgod,72,168,1976,1998,1998,G
Kebu Stewart,80,238,1973,1998,1998,F
Michael Stewart,82,229,1975,1998,2005,C
Ed Stokes,84,262,1971,1998,1998,C
Johnny Taylor,81,218,1974,1998,2000,F
Maurice Taylor,81,258,1976,1998,2007,F
John Thomas,78,203,1948,,,
Tim Thomas,82,229,1977,1998,2010,F
Keith Van,82,229,1977,,,
Jacque Vaughn,73,190,1975,1998,2009,G
Eric Washington,76,190,1974,1998,1999,G
Bubba Wells,77,229,1974,1998,1998,F
DeJuan Wheat,72,163,1973,1998,1999,G
Alvin Williams,78,198,1948,,,
Brandon Williams,78,214,1975,1998,2003,G
Travis Williams,78,214,1969,1998,1999,F
Peter Aluma,82,258,1973,1999,1999,C
Toby Bailey,78,212,1975,1999,2000,G
LaMark Baker,73,174,1969,1999,1999,G
Corey Benjamin,78,198,1978,1999,2003,G
Mike Bibby,73,190,1978,1999,2012,G
Earl Boykins,65,134,1976,1999,2012,G
Gerald Brown,78,190,1935,,,
Cory Carr,75,209,1975,1999,1999,G
Vince Carter,78,218,1977,1999,2018,G
Keon Clark,83,218,1975,1999,2004,F
Kornel David,81,234,1971,1999,2001,F
Ricky Davis,78,194,1979,1999,2010,G
Michael Dickerson,77,190,1975,1999,2003,G
Michael Doleac,83,260,1977,1999,2008,C
Bryce Drew,74,183,1974,1999,2004,G
Marlon Garnett,74,185,1975,1999,1999,G
Pat Garrity,81,236,1976,1999,2008,F
Paul Grant,84,245,1974,1999,2004,C
Matt Harpring,79,229,1976,1999,2009,F
Al Harrington,81,229,1980,1999,2014,F
J.R. Henderson,81,229,1980,,,
Larry Hughes,77,183,1979,1999,2012,G
Randell Jackson,74,190,1962,,,
Sam Jacobson,76,214,1975,1999,2001,G
Jerome James,84,300,1975,1999,2009,C
Antawn Jamison,80,223,1976,1999,2014,F
Damon Jones,75,183,1976,1999,2009,G
Jonathan Kerner,83,245,1974,1999,1999,C
Gerard King,72,174,1928,,,
Raef LaFrentz,83,238,1976,1999,2008,F
Rashard Lewis,78,198,1963,,,
Felipe Lopez,77,198,1974,1999,2002,G
Tyronn Lue,72,174,1977,1999,2009,G
Sean Marks,82,249,1975,1999,2011,F
Kelly McCarty,79,198,1975,1999,1999,G
Jelani McCoy,82,245,1977,1999,2008,C
Roshown McLeod,80,220,1975,1999,2001,F
Brad Miller,83,243,1976,1999,2012,C
Cuttino Mobley,76,190,1975,1999,2009,G
Nazr Mohammed,82,220,1977,1999,2016,C
Mikki Moore,83,225,1975,1999,2012,C
Makhtar N'Diaye,80,245,1973,1999,1999,F
Tyrone Nesby,78,225,1976,1999,2002,F
Rasho Nesterovic,84,247,1976,1999,2010,C
Dirk Nowitzki,84,245,1978,1999,2018,F
Michael Olowokandi,84,269,1975,1999,2007,C
Andrae Patterson,81,236,1975,1999,2000,F
Ruben Patterson,77,223,1975,1999,2008,F
Paul Pierce,79,234,1977,1999,2017,F
Casey Shaw,83,258,1975,1999,1999,C
Jeffrey Sheppard,75,190,1974,1999,1999,G
Miles Simon,75,201,1975,1999,1999,G
Alvin Sims,76,234,1974,1999,1999,G
Brian Skinner,81,254,1976,1999,2012,F
Ryan Stack,83,214,1975,1999,2000,F
Vladimir Stepania,84,236,1976,1999,2004,C
Peja Stojakovic,81,218,1977,1999,2011,F
Bruno Sundov,86,218,1980,1999,2005,C
Robert Traylor,80,282,1977,1999,2005,F
Bonzi Wells,77,209,1976,1999,2008,G
Tyson Wheeler,70,163,1975,1999,1999,G
Jahidi White,81,289,1976,1999,2005,F
Jason Williams,81,238,1968,,,
Shammond Williams,73,201,1975,1999,2007,G
Trevor Winter,84,273,1974,1999,1999,C
Korleone Young,79,212,1978,1999,1999,F
Rafer Alston,74,170,1976,2000,2010,G
Chucky Atkins,71,159,1974,2000,2010,G
William Avery,74,196,1979,2000,2002,G
Jonathan Bender,83,201,1981,2000,2010,F
Calvin Booth,83,229,1976,2000,2009,C
Lazaro Borrell,80,218,1972,2000,2000,F
Cal Bowdler,82,245,1977,2000,2002,F
Ryan Bowen,79,214,1975,2000,2010,F
Ira Bowman,77,194,1973,2000,2002,G
A.J. Bramlett,77,194,1973,,,
Elton Brand,80,273,1979,2000,2016,F
Greg Buckner,76,209,1976,2000,2009,G
Rodney Buford,77,187,1977,2000,2005,G
Anthony Carter,73,190,1975,2000,2012,G
John Celestand,76,176,1977,2000,2000,G
Vonteego Cummings,75,183,1976,2000,2002,G
Baron Davis,75,207,1979,2000,2012,G
Derrick Dial,76,183,1975,2000,2004,G
Obinna Ekezie,81,269,1975,2000,2005,F
Evan Eschmeyer,83,254,1975,2000,2003,C
Jeff Foster,83,236,1977,2000,2012,F
Steve Francis,75,194,1977,2000,2008,G
Devean George,80,218,1977,2000,2010,G
Dion Glover,77,227,1978,2000,2005,G
Adrian Griffin,77,216,1974,2000,2008,G
Richard Hamilton,78,183,1978,2000,2013,G
Chris Herren,74,196,1975,2000,2001,G
Derek Hood,80,220,1976,2000,2000,F
Rick Hughes,77,214,1962,,,
Jermaine Jackson,76,203,1976,2000,2006,G
Tim James,79,212,1976,2000,2002,F
Harold Jamison,80,258,1976,2000,2002,F
DeMarco Johnson,76,183,1954,,,
Jumaine Jones,80,216,1979,2000,2007,F
Lari Ketner,81,276,1977,2000,2001,F
Trajan Langdon,75,196,1976,2000,2002,G
Quincy Lewis,79,214,1977,2000,2004,F
Todd MacCulloch,84,280,1976,2000,2003,C
Corey Maggette,78,216,1979,2000,2013,F
Shawn Marion,79,218,1978,2000,2015,F
Andre Miller,81,225,1971,,,
Jason Miskiri,74,174,1975,2000,2000,G
Lamar Odom,82,218,1979,2000,2013,F
Scott Padgett,81,238,1976,2000,2007,F
Milt Palacio,75,194,1978,2000,2006,G
James Posey,80,214,1977,2000,2011,F
Laron Profit,77,203,1977,2000,2006,G
Aleksandar Radojevic,87,249,1976,2000,2005,C
Ryan Robertson,77,190,1976,2000,2000,G
Eddie Robinson,80,209,1976,2000,2004,G
Michael Ruffin,81,245,1977,2000,2009,F
Wally Szczerbiak,78,209,1949,,,
Jason Terry,74,183,1977,2000,2018,G
Jamel Thomas,78,214,1973,2000,2001,F
Kenny Thomas,79,260,1977,2000,2010,F
Mirsad Turkcan,81,236,1976,2000,2000,F
Wayne Turner,74,190,1976,2000,2000,G
Dedric Willoughby,75,179,1974,2000,2000,G
Metta World,75,179,1974,,,
Tim Young,84,218,1976,2000,2000,C
Courtney Alexander,73,183,1973,,,
Dalibor Bagaric,85,254,1980,2001,2003,C
Erick Barkley,73,176,1978,2001,2002,G
Raja Bell,77,203,1976,2001,2012,G
Mark Blount,84,229,1975,2001,2009,C
Brian Cardinal,80,245,1977,2001,2012,F
Mateen Cleaves,74,203,1977,2001,2006,G
Jason Collier,76,194,1973,,,
Sean Colson,72,174,1975,2001,2001,G
Jamal Crawford,77,198,1980,2001,2018,G
Keyon Dooling,75,194,1980,2001,2013,G
Khalid El-Amin,70,198,1979,2001,2001,G
Marcus Fizer,81,260,1978,2001,2006,F
Ruben Garces,81,245,1973,2001,2001,F
Eddie Gill,72,190,1978,2001,2009,G
Steve Goodrich,82,218,1976,2001,2002,F
A.J. Guyton,82,218,1976,,,
Zendon Hamilton,83,249,1975,2001,2006,C
Jason Hart,75,183,1978,2001,2010,G
Donnell Harvey,80,218,1980,2001,2005,F
Eddie House,73,179,1978,2001,2011,G
Marc Jackson,73,179,1965,,,
Stephen Jackson,75,183,1970,,,
